"","Group","Metabolite","Log2_FC","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Abundance","Significance"
"1","CR-A:AL-A","(5-L-Glutamyl)-L-glutamine",-0.0661905318786466,7520.32800000001,167702.69,160182.362,0.976227704821481,0.357649569437356,7.96952490125354,-10255.7063421328,25296.3623421328,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"2","CR-A:AL-A","(7Z-10Z-13Z-16Z-19Z)-Docosa-7-10-13-16-19-pentaenoic acid",-0.222697778111724,79322.426,554552.806,475230.38,1.33026832623896,0.236778492172854,5.40714173373439,-70551.2707796866,229196.122779687,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"3","CR-A:AL-A","(8Z-11Z-14Z)-Icosatrienoic acid",0.160216359830848,-75373.5,641723.95,717097.45,-1.28339739410055,0.261447263295844,4.50119035582797,-231516.432009495,80769.432009495,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"4","CR-A:AL-A","(S)(+)-Allantoin",-0.286995443997792,42078.06,233257.974,191179.914,2.08070383344377,0.075489078146209,7.09209759137177,-5616.12341915476,89772.2434191548,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"5","CR-A:AL-A","1-3-Bisphosphoglycerate",0.0924415304436301,-16242.522,245455.488,261698.01,-0.401607778521148,0.70315401379284,5.48261349307785,-117513.277626108,85028.2336261083,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"6","CR-A:AL-A","1-4-beta-D-Xylan",0.105867143796228,-2134.024,28027.258,30161.282,-0.836390642035476,0.436364042285418,5.73969493962411,-8446.52204721894,4178.47404721894,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"7","CR-A:AL-A","10-Formyltetrahydrofolate",-0.62437145707873,1150.894,3276.122,2125.228,1.24792503582998,0.25001635135062,7.41639361647502,-1005.29464386624,3307.08264386624,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"8","CR-A:AL-A","2-Aminomuconate",-2.32863990922455,3466.714,4328.37,861.656,6.45015903643324,0.00212921686413613,4.39945826079644,2026.42643461552,4907.00156538448,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.01"
"9","CR-A:AL-A","2-Hydroxyglutarate/Citramalate",-0.468060075319063,44648.092,161147.24,116499.148,3.14098110032577,0.0211938679258528,5.75496365568923,9503.82060071014,79792.3633992898,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"10","CR-A:AL-A","2-Oxoglutaramate",-0.468370784201263,1603.572,5784.482,4180.91,2.16992388587018,0.0631370694126238,7.69866233916425,-112.243780602851,3319.38778060285,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"11","CR-A:AL-A","2-Oxoglutarate",-0.00174570418551588,122.436000000002,101245.504,101123.068,0.0109386330947058,0.99169427045144,5.01441504172174,-28625.1978694481,28870.0698694481,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"12","CR-A:AL-A","2',3'-Cyclic CMP",0.413481456041101,-462.136,1392.412,1854.548,-1.07224475742455,0.319744312353804,6.88591844661105,-1484.71859425593,560.446594255927,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"13","CR-A:AL-A","2/3-Phospho-D-glycerate",0.660137278186626,-32395.634,55832.114,88227.748,-3.57601432468643,0.0180899705194217,4.64108492849252,-56235.1478701718,-8556.12012982821,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"14","CR-A:AL-A","3-Methyleneoxindole",-0.217465436590406,279855.426,2000040.376,1720184.95,0.995267957930046,0.350264146183465,7.59195828107565,-374677.197044869,934388.049044869,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"15","CR-A:AL-A","3-Sulfino-L-alanine",-0.738191516112586,6108.512,15251.848,9143.336,5.8785307457025,0.00144394379804388,5.51602756458858,3510.8022118701,8706.2217881299,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.01"
"16","CR-A:AL-A","3',5'-Cyclic IMP",-0.6993010834386,3164343.4,8237699.4,5073356,13.8358575674554,2.37576317266983e-06,7.01908519358549,2623837.63475398,3704849.16524602,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"17","CR-A:AL-A","4-Acetamidobutanoate",-0.809640675600835,18585.97,43275.916,24689.946,5.67107449126589,0.000934934204313722,6.59302991479158,10738.2853153899,26433.6546846101,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"18","CR-A:AL-A","4-Pyridoxate",-0.439523758724613,6082.566,23160.914,17078.348,2.44699096420634,0.0431230753134783,7.25409163754355,246.221769931387,11918.9102300686,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"19","CR-A:AL-A","5-6-Dihydrothymine",-0.0176205839419177,5190.652,427588.108,422397.456,0.141193469658569,0.891940026478997,6.58282971601245,-82868.634506303,93249.938506303,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"20","CR-A:AL-A","5-6-Dihydrouracil",-0.0438840359482132,890.288,29715.768,28825.48,0.394951666716654,0.707182206070118,5.72040547503707,-4691.47967929733,6472.05567929733,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"21","CR-A:AL-A","5-Hydroxyindoleacetate",0.79573772403701,-4311.728,5858.606,10170.334,-5.26625138984974,0.00326288123735161,5.00982536483342,-6415.14348706278,-2208.31251293722,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.01"
"22","CR-A:AL-A","5-Hydroxyisourate",1.5195653350399,-73206.302,39209.682,112415.984,-13.5580377489769,8.90718289909772e-07,7.95122053086247,-85670.8250058137,-60741.7789941863,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.001"
"23","CR-A:AL-A","5-L-Glutamyl-taurine",-0.0657718205904081,535.201999999999,12009.21,11474.008,0.439362853486061,0.673779727680496,6.92614165261406,-2351.46112983801,3421.86512983801,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"24","CR-A:AL-A","5-Oxoproline",-0.338037383722453,111487.782,533732.644,422244.862,2.97878589426238,0.0365214168559439,4.36691455335279,10927.4871569227,212048.076843077,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"25","CR-A:AL-A","5-Phospho-alpha-D-ribose 1-diphosphate",-0.298225374915322,1010.406,5410.536,4400.13,1.20192965298093,0.264288201645805,7.87427848345355,-933.544426689651,2954.35642668965,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"26","CR-A:AL-A","5-Phosphoribosylamine",-0.798729747560631,882.702,2076.238,1193.536,1.62984344333193,0.14959211471407,6.62277609125386,-412.884223138248,2178.28822313825,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"27","CR-A:AL-A","a-Linolenic acid (Octadecatrienoic acid)",-1.38958135492138,8761432.75,14169636.4,5408203.65,9.59221001768057,3.21389352956496e-05,6.85630659057033,6592397.55483318,10930467.9451668,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"28","CR-A:AL-A","acetyl-carnitine (acyl-C2)",-0.0969906543077675,1566636.4,24095149.6,22528513.2,0.681846611139858,0.516929431439799,7.10834477618107,-3849671.04754475,6982943.84754476,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"29","CR-A:AL-A","Acetylcholine",0.576612461456755,-81664.19,166205.948,247870.138,-7.09503937747689,0.000103879579598994,7.97809257535475,-108219.082503181,-55109.2974968189,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"30","CR-A:AL-A","acyl-C18:2 (Linoleoyl-CoA)",-1.38186535375751,53715.576,87161.322,33445.746,7.44315054232588,0.000885789356948111,4.71789964579432,34825.599138081,72605.552861919,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"31","CR-A:AL-A","acyl-C20:4",-0.397363363434594,2595.09,10778.948,8183.858,1.43467465075432,0.196192235078791,6.72670758419437,-1717.60621026486,6907.78621026486,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"32","CR-A:AL-A","acyl-C4-OH",-1.54257352977126,282841.16,430682.724,147841.564,13.9065096993739,7.09036083531401e-07,7.97950198414396,235918.916156879,329763.403843121,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"33","CR-A:AL-A","acyl-C5-OH",0.663742152799724,-9785.198,16750.128,26535.326,-3.00942644596584,0.0168638363628831,7.98532991426436,-17285.6055260002,-2284.7904739998,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"34","CR-A:AL-A","Adenine",0.759775688785521,-6157.822,8882.832,15040.654,-10.1745761055433,3.01227377145976e-05,6.53917216009948,-7609.63256172021,-4706.01143827979,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.001"
"35","CR-A:AL-A","Adenylosuccinic acid",0.190026304380078,-350.438,2489.18,2839.618,-0.4485485950978,0.665709926252362,7.9640992387558,-2153.46671935143,1452.59071935143,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"36","CR-A:AL-A","ADP",-2.95801980427269,74167.292,85121.662,10954.37,10.9013813076254,4.69213556800629e-06,7.94321805043623,58458.9040452161,89875.6799547839,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"37","CR-A:AL-A","Allantoate",0.233125205042704,-14723.364,83952.014,98675.378,-0.957183410294681,0.37152258295489,6.74343318211052,-51378.3605501484,21931.6325501485,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"38","CR-A:AL-A","alpha-D-Ribose 1-phosphate",2.12728855853141,-178052.94,52851.074,230904.014,-16.6100828528141,5.08438411437858e-05,4.2406473336502,-207160.838422491,-148945.041577509,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.001"
"39","CR-A:AL-A","AMP",0.618950105493983,-585313.004,1092496.848,1677809.852,-5.09224789821053,0.00300976867299508,5.42154032509228,-874002.752558649,-296623.255441351,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"40","CR-A:AL-A","Anthranilate",2.62818889364357,-187552.534,36189.63,223742.164,-8.10036278401674,0.001230799951868,4.02405159256678,-251685.97624303,-123419.09175697,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.01"
"41","CR-A:AL-A","Arachidonic acid (Eicosatetraenoic acid)",-0.804741192445259,3198259.7,7480692.7,4282433,5.31181885013127,0.000786395974983622,7.78145035196482,1802991.56229838,4593527.83770162,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"42","CR-A:AL-A","Ascorbate",-0.0364093458451892,339.898000000001,13638.886,13298.988,0.165389444685687,0.872748729290272,7.98361237764308,-4400.95067699642,5080.74667699642,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"43","CR-A:AL-A","Butanoic/Butyric acid",-0.406999989616074,5788.588,23549.038,17760.45,1.98097101666904,0.0830618300164079,7.96941302016671,-954.282372338938,12531.4583723389,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"44","CR-A:AL-A","butanoyl-l-carnitine (acyl-C4)",1.63468969532622,-618362.842,293730.11,912092.952,-8.32835437038014,0.000286940835989248,5.37097712835182,-805325.389021059,-431400.29497894,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.001"
"45","CR-A:AL-A","Carnosine",1.08411061194874,-16531.242,14759.14,31290.382,-6.38316714400155,0.00266240253595203,4.1774977193138,-23602.8280771961,-9459.65592280387,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.01"
"46","CR-A:AL-A","Choline",0.689240974706755,-2470004.3,4033088.3,6503092.6,-4.13342982670114,0.00329219997238015,7.98957360220006,-3848311.04631067,-1091697.55368933,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"47","CR-A:AL-A","Citrate",-0.103319901039887,342797.4,4960054.7,4617257.3,0.835744302722113,0.433209990888041,6.43929937254128,-644486.776092088,1330081.57609209,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"48","CR-A:AL-A","CMP",2.89366057676311,-52126.808,8104.876,60231.684,-8.83520739280485,0.000879659224485733,4.02582900033248,-68466.1817904762,-35787.4342095238,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.001"
"49","CR-A:AL-A","Creatine",0.0038464647116546,-338.979999999996,126971.948,127310.928,-0.0474672687047473,0.963786830139611,5.6038419086729,-18117.0740147619,17439.1140147619,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"50","CR-A:AL-A","Creatinine",0.126324444451246,-2079.114,22720.244,24799.358,-1.26502638760897,0.246854541815638,6.90930551095366,-5975.81994094813,1817.59194094813,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"51","CR-A:AL-A","CTP",-0.307192565930181,13282.13,69254.584,55972.454,1.13378953175608,0.289714567198173,7.99968067139802,-13732.4601526607,40296.7201526607,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"52","CR-A:AL-A","Cystathionine",1.8346663266359,-6582.638,2564.442,9147.08,-8.66300852908076,2.66564671964805e-05,7.89163284572539,-8339.06587974997,-4826.21012025003,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.001"
"53","CR-A:AL-A","Cytidine",0.204203039823711,-26251.38,172649.92,198901.3,-1.75035869047166,0.121314077088431,7.38181553555755,-61346.8539258984,8844.0939258984,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"54","CR-A:AL-A","Cytosine",0.0727120747464627,-2407.04399999999,46565.236,48972.28,-0.906208891199305,0.392719238534488,7.58018262597609,-8591.73412334537,3777.64612334538,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"55","CR-A:AL-A","D-Arabitol",0.145265044187868,-340.67,3215.876,3556.546,-0.929316664048488,0.380100403638488,7.94306085641605,-1187.06365856739,505.723658567394,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"56","CR-A:AL-A","D-Fructose 1-6-bisphosphate",0.83069648827161,-3750.412,4817.214,8567.626,-4.18324335465126,0.00940455852418593,4.80439287057419,-6083.53121571009,-1417.29278428991,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.01"
"57","CR-A:AL-A","D-Glucono-1-5-lactone 6-phosphate",-2.12057240080319,6387.544,8295.034,1907.49,4.87160118906725,0.00693409267532821,4.27296900255219,2837.03397574986,9938.05402425014,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.01"
"58","CR-A:AL-A","D-Glucosamine",0.364520269666994,-4911.82,17087.358,21999.178,-1.60591702953071,0.15094700777763,7.23319326189128,-12097.2042140895,2273.56421408954,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"59","CR-A:AL-A","D-Glucose",0.289676653471685,-68987.598,310243.07,379230.668,-2.65798995816445,0.028931685989733,7.98852164483719,-128854.446833717,-9120.74916628327,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
