"","Group","Protein","Log2_FC","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Abundance","Significance"
"1","CR-A:AL-A","1433Z",0.321928094887362,-2,8,10,-1.04446593573419,0.359281962435675,3.72307692307692,-7.47613273000648,3.47613273000648,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"2","CR-A:AL-A","A1AG1",0.0384741478146356,-5.33333333333331,197.333333333333,202.666666666667,-0.272560141547331,0.807550081518039,2.32293777906016,-79.2466277050582,68.5799610383915,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"3","CR-A:AL-A","A1AT1",0.267236476596261,-364.333333333333,1790.33333333333,2154.66666666667,-4.04327032518806,0.0256405826334867,3.09690001606153,-646.089210321723,-82.5774563449439,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"4","CR-A:AL-A","A1AT2",0.340330407027172,-95.3333333333334,358.333333333333,453.666666666667,-3.18981149526041,0.0495825158522066,3.00592032456701,-190.340655385868,-0.326011280798603,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"5","CR-A:AL-A","A1AT4",0.211374756106712,-80,507,587,-3.74771327498706,0.0227583289760265,3.72005370987312,-141.068044182788,-18.931955817212,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"6","CR-A:AL-A","A1AT5",1.71279192052462,-251.333333333333,110.333333333333,361.666666666667,-7.05659748126622,0.0183160512282191,2.04713985313045,-401.247525555535,-101.419141111132,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.05"
"7","CR-A:AL-A","A2AP",-0.00989280475843182,2,292.666666666667,290.666666666667,0.158499594395654,0.885691662542087,2.56643618400702,-42.281639591139,46.281639591139,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"8","CR-A:AL-A","ACE",0.319278516473413,-9,36.3333333333333,45.3333333333333,-1.53846778220511,0.260694187124893,2.05262246840921,-33.5620447100009,15.5620447100009,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"9","CR-A:AL-A","ACTB",0.184950686152395,-15,109.666666666667,124.666666666667,-3.45134244981317,0.026229325912069,3.98016802093375,-27.0905543042837,-2.90944569571635,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"10","CR-A:AL-A","ACTS",0.258311995591391,-3.33333333333333,17,20.3333333333333,-1.14707866935281,0.340085153435426,2.79168680521991,-12.9842241276069,6.31755746094022,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"11","CR-A:AL-A","ADIPO",-0.337500898807823,11.3333333333333,54.3333333333333,43,4.06377727173694,0.0157055180088494,3.94842868654311,3.55014876685702,19.1165178998096,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"12","CR-A:AL-A","AFAM",0.0217313822136983,-3,197.666666666667,200.666666666667,-0.337763981268361,0.760777842215807,2.61749113396923,-33.7530953782582,27.7530953782582,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"13","CR-A:AL-A","AL1A1",0.371968777386958,-3.33333333333333,11.3333333333333,14.6666666666667,-1.01015254455221,0.406453867455277,2.30588235294118,-15.8708045892825,9.20413792261581,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"14","CR-A:AL-A","ALBU",0.0625830278019698,-466.333333333334,10518.6666666667,10985,-1.79586553533798,0.156611392677205,3.52141131188657,-1227.63133531188,294.964668645215,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"15","CR-A:AL-A","ALDOA",0.54432051622381,-11,24,35,-3.09073317821959,0.0365482945444428,4,-20.881440550222,-1.11855944977795,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"16","CR-A:AL-A","ALS",0.238657475699232,-11.3333333333333,63,74.3333333333333,-1.98969950233422,0.134977680290095,3.2,-28.8361745894595,6.16950792279288,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"17","CR-A:AL-A","AMBP",0.134929580086108,-8.33333333333333,85,93.3333333333333,-1.21410732794658,0.336723762983181,2.24964649055848,-34.9371056136077,18.2704389469411,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"18","CR-A:AL-A","AMPL",0.332575339086871,-4.66666666666667,18,22.6666666666667,-1.37946098943001,0.277461785579738,2.51845697329377,-16.6964219427432,7.36308860940991,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
